id,name,sex,age,height,weight,year,season,sport,event,medal,country,medal_count
16,Juhamatti Tapio Aaltonen,M,28,184,85,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Finland,1
20,Kjetil Andr Aamodt,M,30,176,85,2002,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold,Norway,1
20,Kjetil Andr Aamodt,M,30,176,85,2002,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Gold,Norway,1
20,Kjetil Andr Aamodt,M,34,176,85,2006,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold,Norway,1
62,Giovanni Abagnale,M,21,198,90,2016,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze,Italy,1
63,Jos Luis Abajo Gmez,M,30,194,87,2008,Summer,Fencing,"Fencing Men's epee, Individual",Bronze,Spain,1
65,Patimat Abakarova,F,21,165,49,2016,Summer,Taekwondo,Taekwondo Women's Flyweight,Bronze,Azerbaijan,1
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,2008,Summer,Athletics,Athletics Women's Javelin Throw,Silver,Russia,1
72,Aleksey Aleksandrovich Abalmasov,M,28,180,83,2008,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,Belarus,1
73,Luc Abalo,M,23,182,86,2008,Summer,Handball,Handball Men's Handball,Gold,France,1
73,Luc Abalo,M,27,182,86,2012,Summer,Handball,Handball Men's Handball,Gold,France,1
73,Luc Abalo,M,31,182,86,2016,Summer,Handball,Handball Men's Handball,Silver,France,1
76,Jouan Patrice Abanda Etong,M,22,185,82,2000,Summer,Football,Football Men's Football,Gold,Cameroon,1
84,Stephen Anthony Abas,M,26,165,55,2004,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,USA,1
90,Tamila Rashidovna Abasova,F,21,163,60,2004,Summer,Cycling,Cycling Women's Sprint,Silver,Russia,1
93,Jol Marc Abati,M,38,190,85,2008,Summer,Handball,Handball Men's Handball,Gold,France,1
106,Agostino Abbagnale,M,34,188,96,2000,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold,Italy,1
143,"Desmond ""Des"" Abbott",M,21,184,87,2008,Summer,Hockey,Hockey Men's Hockey,Bronze,Australia,1
145,Jeremy Abbott,M,28,175,70,2014,Winter,Figure Skating,Figure Skating Mixed Team,Bronze,USA,1
153,Monica Cecilia Abbott,F,23,191,88,2008,Summer,Softball,Softball Women's Softball,Silver,USA,1
165,Nia Nicole Abdallah,F,20,175,56,2004,Summer,Taekwondo,Taekwondo Women's Featherweight,Silver,USA,1
