id,name,sex,age,height,weight,year,season,sport,event,medal,country
16,Juhamatti Tapio Aaltonen,M,28,184,85,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,Finland
20,Kjetil Andr Aamodt,M,30,176,85,2002,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold,Norway
20,Kjetil Andr Aamodt,M,30,176,85,2002,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Gold,Norway
20,Kjetil Andr Aamodt,M,34,176,85,2006,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold,Norway
62,Giovanni Abagnale,M,21,198,90,2016,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze,Italy
63,Jos Luis Abajo Gmez,M,30,194,87,2008,Summer,Fencing,"Fencing Men's epee, Individual",Bronze,Spain
65,Patimat Abakarova,F,21,165,49,2016,Summer,Taekwondo,Taekwondo Women's Flyweight,Bronze,Azerbaijan
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,2008,Summer,Athletics,Athletics Women's Javelin Throw,Silver,Russia
72,Aleksey Aleksandrovich Abalmasov,M,28,180,83,2008,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,Belarus
73,Luc Abalo,M,23,182,86,2008,Summer,Handball,Handball Men's Handball,Gold,France
73,Luc Abalo,M,27,182,86,2012,Summer,Handball,Handball Men's Handball,Gold,France
73,Luc Abalo,M,31,182,86,2016,Summer,Handball,Handball Men's Handball,Silver,France
84,Stephen Anthony Abas,M,26,165,55,2004,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,USA
90,Tamila Rashidovna Abasova,F,21,163,60,2004,Summer,Cycling,Cycling Women's Sprint,Silver,Russia
93,Jol Marc Abati,M,38,190,85,2008,Summer,Handball,Handball Men's Handball,Gold,France
106,Agostino Abbagnale,M,34,188,96,2000,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold,Italy
143,"Desmond ""Des"" Abbott",M,21,184,87,2008,Summer,Hockey,Hockey Men's Hockey,Bronze,Australia
145,Jeremy Abbott,M,28,175,70,2014,Winter,Figure Skating,Figure Skating Mixed Team,Bronze,USA
153,Monica Cecilia Abbott,F,23,191,88,2008,Summer,Softball,Softball Women's Softball,Silver,USA
165,Nia Nicole Abdallah,F,20,175,56,2004,Summer,Taekwondo,Taekwondo Women's Featherweight,Silver,USA
339,Namiq Yadulla Abdullayev,M,29,167,55,2000,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,Azerbaijan
351,Julius Shareef Abdur-Rahim,M,23,202,104,2000,Summer,Basketball,Basketball Men's Basketball,Gold,USA
395,Jennifer Abel,F,20,160,62,2012,Summer,Diving,Diving Women's Synchronized Springboard,Bronze,Canada
423,Michael Brent Abernathy,M,22,182,84,2000,Summer,Baseball,Baseball Men's Baseball,Gold,USA
455,Denis Mikhaylovich Ablyazin,M,19,161,62,2012,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,Russia
455,Denis Mikhaylovich Ablyazin,M,19,161,62,2012,Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver,Russia
455,Denis Mikhaylovich Ablyazin,M,24,161,62,2016,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver,Russia
455,Denis Mikhaylovich Ablyazin,M,24,161,62,2016,Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver,Russia
455,Denis Mikhaylovich Ablyazin,M,24,161,62,2016,Summer,Gymnastics,Gymnastics Men's Rings,Bronze,Russia
465,"Matthew ""Matt"" Abood",M,30,197,92,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Australia
514,Ara Abrahamian,M,29,191,84,2004,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,Sweden
543,Pavel Sergeyevich Abramov,M,25,198,89,2004,Summer,Volleyball,Volleyball Men's Volleyball,Bronze,Russia
548,Yekaterina Konstantinovna Abramova,F,23,167,65,2006,Winter,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze,Russia
576,"Alejandro ""lex"" Abrines Redondo",M,23,198,93,2016,Summer,Basketball,Basketball Men's Basketball,Bronze,Spain
580,Svetlana Olegovna Abrosimova,F,28,188,77,2008,Summer,Basketball,Basketball Women's Basketball,Bronze,Russia
583,Julien Absalon,M,23,180,68,2004,Summer,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold,France
583,Julien Absalon,M,27,180,68,2008,Summer,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold,France
627,Andreea Roxana Acatrinei,F,16,150,40,2008,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze,Romania
629,William Accambray,M,24,194,104,2012,Summer,Handball,Handball Men's Handball,Gold,France
690,Chantal Achterberg,F,27,172,72,2012,Summer,Rowing,Rowing Women's Coxed Eights,Bronze,Netherlands
690,Chantal Achterberg,F,31,172,72,2016,Summer,Rowing,Rowing Women's Quadruple Sculls,Silver,Netherlands
702,Ronny Ackermann,M,24,184,69,2002,Winter,Nordic Combined,Nordic Combined Men's Team,Silver,Germany
702,Ronny Ackermann,M,24,184,69,2002,Winter,Nordic Combined,Nordic Combined Men's Sprint,Silver,Germany
702,Ronny Ackermann,M,28,184,69,2006,Winter,Nordic Combined,Nordic Combined Men's Team,Silver,Germany
716,Lautaro Germn Acosta,M,20,168,72,2008,Summer,Football,Football Men's Football,Gold,Argentina
723,Osmay Acosta Duarte,M,23,188,91,2008,Summer,Boxing,Boxing Men's Heavyweight,Bronze,Cuba
772,"Michael B. ""Mike"" Adam",M,24,175,95,2006,Winter,Curling,Curling Men's Curling,Gold,Canada
832,Nicola Virginia Adams,F,29,164,51,2012,Summer,Boxing,Boxing Women's Flyweight,Gold,UK
832,Nicola Virginia Adams,F,33,164,51,2016,Summer,Boxing,Boxing Women's Flyweight,Gold,UK
837,Rachael Alexis Adams,F,26,188,81,2016,Summer,Volleyball,Volleyball Women's Volleyball,Bronze,USA
840,"Victoria ""Vicki"" Adams",F,24,164,69,2014,Winter,Curling,Curling Women's Curling,Bronze,UK
846,Valerie Kasanita Adams-Vili (-Price),F,23,193,120,2008,Summer,Athletics,Athletics Women's Shot Put,Gold,New Zealand
846,Valerie Kasanita Adams-Vili (-Price),F,27,193,120,2012,Summer,Athletics,Athletics Women's Shot Put,Gold,New Zealand
846,Valerie Kasanita Adams-Vili (-Price),F,31,193,120,2016,Summer,Athletics,Athletics Women's Shot Put,Silver,New Zealand
849,Filip Kamil Adamski,M,29,189,87,2012,Summer,Rowing,Rowing Men's Coxed Eights,Gold,Germany
896,Olubayo Adefemi,M,22,181,82,2008,Summer,Football,Football Men's Football,Silver,Nigeria
908,"Ayodele ""Dele"" Adeleye",M,19,190,80,2008,Summer,Football,Football Men's Football,Silver,Nigeria
